214,ML1_FAM_1,ML2_BP_11,ML3_BP_1124,ML4_BP_11262008,8325
215,ML1_FAM_1,ML2_BP_11,ML3_BP_114200001,ML4_BP_11420000122,15127
216,ML1_FAM_1,ML2_BP_11,ML3_BP_114200001,ML4_BP_11420000121,15114
217,ML1_FAM_1,ML2_BP_11,ML3_BP_1152,ML4_BP_115270081,9404
218,ML1_FAM_1,ML2_BP_11,ML3_BP_1152,ML4_BP_115290081,9409
219,ML1_FAM_1,ML2_BP_11,ML3_BP_1152,ML4_BP_1154008,8644
220,ML1_FAM_1,ML2_BP_11,ML3_BP_1152,ML4_BP_115300081,9407
221,ML1_FAM_1,ML2_BP_11,ML3_BP_1152,ML4_BP_115280081,9392
222,ML1_FAM_1,ML2_BP_11,ML3_BP_1152,ML4_BP_115260081,9387
223,ML1_FAM_1,ML2_BP_11,ML3_BP_1152,ML4_BP_1153008,8602
224,ML1_FAM_1,ML2_BP_11,ML3_BP_1152,ML4_BP_1152008,8602
225,ML1_FAM_1,ML2_BP_11,ML3_BP_1142,ML4_BP_11421,13648
226,ML1_FAM_1,ML2_BP_11,ML3_BP_1142,ML4_BP_1142222,15126
227,ML1_FAM_1,ML2_BP_11,ML3_BP_15271,ML4_BP_1527103,12454
228,ML1_FAM_1,ML2_BP_11,ML3_BP_15271,ML4_BP_1527101,12302
229,ML1_FAM_1,ML2_BP_11,ML3_BP_15271,ML4_BP_1527102,12303
230,ML1_FAM_1,ML2_BP_11,ML3_BP_1191,ML4_BP_11913,7361
231,ML1_FAM_1,ML2_BP_11,ML3_BP_1191,ML4_BP_11912,7359
232,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_112031,15837
233,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11272,12540
234,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11266,7358
235,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11273,12539
236,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11268,12526
237,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11265,7353
238,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_112912,13506
239,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11284,7426
240,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11276,7356
241,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11282,15840
242,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11301,9187
243,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11289,16026
244,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11281,15839
245,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11291,16032
246,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11267,7355
247,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11278,10636
248,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_112672,8009
249,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11286,15854
250,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_112931,13543
251,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_112932,13544
252,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_112032,15838
253,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11269,12543
254,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_112033,15841
255,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11270,12541
256,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11275,12534
257,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_112911,13476
258,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11287,15855
259,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11274,12389
260,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11253,12533
261,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11288,15856
262,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_112921,13525
263,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11290,16028
264,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_11270,12532
265,ML1_FAM_1,ML2_BP_11,ML3_BP_112,ML4_BP_112922,13526
266,ML1_FAM_1,ML2_BP_11,ML3_BP_16,ML4_BP_1603,12188
267,ML1_FAM_1,ML2_BP_11,ML3_BP_11941,ML4_BP_119411,10769
268,ML1_FAM_1,ML2_BP_11,ML3_BP_1194,ML4_BP_119410,10768
269,ML1_FAM_1,ML2_BP_11,ML3_BP_116,ML4_BP_11612,7423
270,ML1_FAM_1,ML2_BP_11,ML3_BP_116,ML4_BP_1169,7420
271,ML1_FAM_1,ML2_BP_11,ML3_BP_116,ML4_BP_1167,7410
272,ML1_FAM_1,ML2_BP_11,ML3_BP_116,ML4_BP_11611,9206
273,ML1_FAM_1,ML2_BP_11,ML3_BP_116,ML4_BP_11611008,9421
274,ML1_FAM_1,ML2_BP_11,ML3_BP_116,ML4_BP_1165,7409
275,ML1_FAM_1,ML2_BP_11,ML3_BP_116,ML4_BP_1168,7421
